State,District,Block,Tap water connection Coverage,Reporting by Implementing Departments (Reporting rate),Certification by Gram Sabhas (Certification Rate),Reporting to Coverage Ratio,Certification to Coverage Ratio,Certification to Reporting Ratio,Year,Updated_Name
Karnataka,Bagalkote,Badami,35.7269601,0,0,0,0,0,2021,Bagalkot
Karnataka,Bagalkote,Bagalkote,24.05112578,0,0,0,0,0,2021,Bagalkot
Karnataka,Bagalkote,Bilagi,28.95593536,1.235321474,0,4.266211604,0,0,2021,Bagalkot
Karnataka,Bagalkote,Hungund,7.25859361,0,0,0,0,0,2021,Bagalkot
Karnataka,Bagalkote,Jamakhandi,59.92611537,0,0,0,0,0,2021,Bagalkot
Karnataka,Bagalkote,Mudhol,65.22198318,0,0,0,0,0,2021,Bagalkot
Karnataka,Ballari,Ballari,48.36398302,0.433606003,0,0.896547339,0,0,2021,Ballari
Karnataka,Ballari,Hadagalli,44.57144656,0,0,0,0,0,2021,Ballari
Karnataka,Ballari,Hagaribommanahalli,17.66188025,0,0,0,0,0,2021,Ballari
Karnataka,Ballari,Harappanahalli,16.38176638,0,0,0,0,0,2021,Ballari
Karnataka,Ballari,Hospet,34.09972561,0,0,0,0,0,2021,Ballari
Karnataka,Ballari,Kudligi,27.02630106,0,0,0,0,0,2021,Ballari
Karnataka,Ballari,Sandur,6.618715669,0,0,0,0,0,2021,Ballari
Karnataka,Ballari,Siruguppa,60.40454342,0.002797672,0,0.004631559,0,0,2021,Ballari
Karnataka,Bangalore Rural,Devanhalli,20.64364864,0,0,0,0,0,2021,Bengaluru (Rural)
Karnataka,Bangalore Rural,Dodballapur,14.27494259,0,0,0,0,0,2021,Bengaluru (Rural)
Karnataka,Bangalore Rural,Hoskote,30.75954231,0,0,0,0,0,2021,Bengaluru (Rural)
Karnataka,Bangalore Rural,Nelamangala,11.24426731,0,0,0,0,0,2021,Bengaluru (Rural)
Karnataka,Belagavi,Athani,15.84742802,0,0,0,0,0,2021,Belagavi
Karnataka,Belagavi,Bailhongal,25.80762869,0,0,0,0,0,2021,Belagavi
Karnataka,Belagavi,Belagavi,31.33647361,0,0,0,0,0,2021,Belagavi
Karnataka,Belagavi,Chikodi,8.338803722,0,0,0,0,0,2021,Belagavi
Karnataka,Belagavi,Gokak,36.12615695,0.413364502,0,1.144224952,0,0,2021,Belagavi
Karnataka,Belagavi,Hukkeri,43.73311253,0,0,0,0,0,2021,Belagavi
Karnataka,Belagavi,Khanapur,29.18738242,0.834789035,0,2.860102434,0,0,2021,Belagavi
Karnataka,Belagavi,Ramdurg,27.09875366,0.677772192,0,2.501119427,0,0,2021,Belagavi
Karnataka,Belagavi,Raybag,8.050661906,0,0,0,0,0,2021,Belagavi
Karnataka,Belagavi,Saundatti,29.78285777,0.303695421,0,1.019698725,0,0,2021,Belagavi
Karnataka,Bengaluru Urban,Anekal,24.87335084,0,0,0,0,0,2021,Bengaluru (Urban)
Karnataka,Bengaluru Urban,Bangalore East,20.18681561,0,0,0,0,0,2021,Bengaluru (Urban)
Karnataka,Bengaluru Urban,Bangalore North,22.89613421,0,0,0,0,0,2021,Bengaluru (Urban)
Karnataka,Bengaluru Urban,Bangalore South,12.41148549,0,0,0,0,0,2021,Bengaluru (Urban)
